City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Busselton,AU,68.13,clear sky,-33.65,115.33,Observatory Guest House
2,Puerto Ayora,EC,86.0,clear sky,-0.74,-90.35,Finch Bay Galapagos Hotel
3,Avarua,CK,80.6,light rain,-21.21,-159.78,Paradise Inn
4,Bathsheba,BB,78.8,broken clouds,13.22,-59.52,Atlantis Hotel
5,Vao,NC,77.9,light rain,-22.67,167.48,Hotel Kou-Bugny
6,Port Alfred,ZA,68.0,clear sky,-33.59,26.89,The Halyards Hotel
7,Inyonga,TZ,68.13,overcast clouds,-6.72,32.07,Eden Rock Lodge
8,Alofi,NU,75.2,light rain,-19.06,-169.92,Taloa Heights
9,Xinzhi,CN,14.56,clear sky,36.5,111.7,Mingyue Hotel
10,Jibuti,DJ,77.0,few clouds,11.5,42.5,Orchid Main Camp Goubet
11,East London,ZA,68.0,light rain,-33.02,27.91,Tu Casa
12,Darnah,LY,60.06,clear sky,32.77,22.64,زاوية الرفاعي
13,Mataura,NZ,55.99,overcast clouds,-46.19,168.86,Ellie's Villa
14,Mombasa,KE,80.6,few clouds,-4.05,39.66,New Palm Tree Hotel
15,Carnarvon,AU,75.2,broken clouds,-24.87,113.63,Hospitality Carnarvon
16,Bluff,NZ,55.99,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
17,Punta Arenas,CL,59.0,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
18,Rikitea,PF,77.79,light rain,-23.12,-134.97,Pension Maro'i
19,Tucumcari,US,35.6,clear sky,35.17,-103.72,Holiday Inn Express & Suites Tucumcari
20,Newport,GB,39.0,overcast clouds,51.59,-3.0,ibis budget Newport
21,Lata,PT,50.0,clear sky,40.16,-8.33,Casa Maquia
23,Jamestown,US,42.01,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
24,Jalu,LY,57.69,clear sky,29.03,21.55,صاحبة الفخامة
25,Salalah,OM,73.4,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
26,Faya,SA,59.0,clear sky,18.39,42.45,مقبرة ال مجمل
27,Pointe Michel,DM,86.0,scattered clouds,15.25,-61.38,Castle Comfort Lodge Dive Dominica
28,New Norfolk,AU,55.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
30,Ternate,ID,80.73,light rain,0.8,127.4,Grand Dafam Bela Ternate
31,Makhu,IN,44.53,clear sky,31.1,75.0,Kulwinder telecom
32,Del Rio,US,60.8,overcast clouds,29.36,-100.9,Holiday Inn Express & Suites del Rio
33,Portland,US,46.0,overcast clouds,45.52,-122.68,The Bidwell Marriott Portland
34,Cabo San Lucas,MX,71.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
36,Kapaa,US,68.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
37,Hithadhoo,MV,82.89,light rain,-0.6,73.08,Scoop Guest House
38,Lethem,GY,86.54,overcast clouds,3.38,-59.8,Savannah Inn
39,Ponta Do Sol,PT,60.01,light intensity shower rain,32.67,-17.1,Hotel do Campo
40,Saint-Philippe,RE,78.8,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
41,Havre-Saint-Pierre,CA,12.2,clear sky,50.23,-63.6,Auberge Niapiskau
42,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
43,Westport,US,39.0,clear sky,41.14,-73.36,Norwalk Inn
44,Mul,IN,62.38,clear sky,20.07,79.67,Taj Mahal
45,Akyab,MM,66.33,clear sky,20.15,92.9,Hotel Memory
47,Nador,MA,51.8,clear sky,35.17,-2.93,Hôtel La Giralda
48,Hermanus,ZA,66.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
49,Chingola,ZM,64.96,light rain,-12.53,27.88,Protea Hotel by Marriott Chingola
50,Dehra Dun,IN,48.7,clear sky,30.32,78.03,Hotel Doon Castle | Best Hotel in Dehradun | Best affordable hotel in Dehradun
51,Kemang,ID,73.42,heavy intensity rain,-3.35,104.34,Sidiq home stay
52,San Patricio,US,75.99,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
53,Butaritari,KI,81.25,light rain,3.07,172.79,Isles Sunset Lodge
54,La Palma,US,64.99,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
56,Bintulu,MY,77.0,few clouds,3.17,113.03,900 Boutique INN
57,Bahia Blanca,AR,72.55,clear sky,-38.72,-62.27,Hotel Argos
58,Souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
59,Arraial Do Cabo,BR,84.2,clear sky,-22.97,-42.03,Pousada Porto Praia
62,Iowa City,US,24.8,overcast clouds,41.66,-91.53,Heartland Inn
63,Hilo,US,72.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
64,Baglung,NP,48.87,clear sky,28.27,83.59,"Hotel Peace Palace, Baglung, Nepal"
65,Saldanha,ZA,68.0,clear sky,-33.01,17.94,Blue Bay Lodge
66,Sitka,US,39.2,mist,57.05,-135.33,Westmark Sitka
67,Torbay,CA,32.0,overcast clouds,47.67,-52.73,Gallows Cove
