City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gorin,RU,51.2,136.67,-15.5,87,100,4.12,overcast clouds
1,Busselton,AU,-33.65,115.33,68.13,72,0,14.12,clear sky
2,Puerto Ayora,EC,-0.74,-90.35,86.0,48,0,18.34,clear sky
3,Avarua,CK,-21.21,-159.78,80.6,83,22,8.05,light rain
4,Bathsheba,BB,13.22,-59.52,78.8,83,75,11.41,broken clouds
5,Vao,NC,-22.67,167.48,77.9,83,100,25.66,light rain
6,Port Alfred,ZA,-33.59,26.89,68.0,87,0,6.29,clear sky
7,Inyonga,TZ,-6.72,32.07,68.13,81,100,1.77,overcast clouds
8,Alofi,NU,-19.06,-169.92,75.2,100,83,1.12,light rain
9,Xinzhi,CN,36.5,111.7,14.56,58,0,3.06,clear sky
10,Jibuti,DJ,11.5,42.5,77.0,69,20,3.36,few clouds
11,East London,ZA,-33.02,27.91,68.0,94,75,5.82,light rain
12,Darnah,LY,32.77,22.64,60.06,50,0,10.78,clear sky
13,Mataura,NZ,-46.19,168.86,55.99,89,100,1.01,overcast clouds
14,Mombasa,KE,-4.05,39.66,80.6,83,20,9.17,few clouds
15,Carnarvon,AU,-24.87,113.63,75.2,88,55,12.75,broken clouds
16,Bluff,NZ,-46.6,168.33,55.99,89,99,1.01,overcast clouds
17,Punta Arenas,CL,-53.15,-70.92,59.0,47,75,20.8,broken clouds
18,Rikitea,PF,-23.12,-134.97,77.79,77,0,11.21,light rain
19,Tucumcari,US,35.17,-103.72,35.6,40,1,8.05,clear sky
20,Newport,GB,51.59,-3.0,39.0,93,91,5.06,overcast clouds
21,Lata,PT,40.16,-8.33,50.0,86,0,0.98,clear sky
22,Khatanga,RU,71.97,102.5,-29.04,82,0,3.51,clear sky
23,Jamestown,US,42.1,-79.24,42.01,55,75,17.22,broken clouds
24,Jalu,LY,29.03,21.55,57.69,40,8,6.6,clear sky
25,Salalah,OM,17.02,54.09,73.4,64,0,4.7,clear sky
26,Faya,SA,18.39,42.45,59.0,82,0,5.82,clear sky
27,Pointe Michel,DM,15.25,-61.38,86.0,70,40,2.24,scattered clouds
28,New Norfolk,AU,-42.78,147.06,55.0,73,100,1.01,overcast clouds
29,Beringovskiy,RU,63.05,179.32,5.43,94,100,17.4,overcast clouds
30,Ternate,ID,0.8,127.4,80.73,78,82,5.5,light rain
31,Makhu,IN,31.1,75.0,44.53,59,0,4.07,clear sky
32,Del Rio,US,29.36,-100.9,60.8,71,90,14.99,overcast clouds
33,Portland,US,45.52,-122.68,46.0,81,90,8.05,overcast clouds
34,Cabo San Lucas,MX,22.89,-109.91,71.01,48,5,12.75,clear sky
35,Srednekolymsk,RU,67.45,153.68,-36.35,82,100,8.12,overcast clouds
36,Kapaa,US,22.08,-159.32,68.0,88,20,6.93,light rain
37,Hithadhoo,MV,-0.6,73.08,82.89,75,9,7.45,light rain
38,Lethem,GY,3.38,-59.8,86.54,57,90,2.57,overcast clouds
39,Ponta Do Sol,PT,32.67,-17.1,60.01,82,40,10.29,light intensity shower rain
40,Saint-Philippe,RE,-21.36,55.77,78.8,78,0,26.4,light rain
41,Havre-Saint-Pierre,CA,50.23,-63.6,12.2,66,1,20.8,clear sky
42,Vaini,TO,-21.2,-175.2,77.0,83,75,6.93,broken clouds
43,Westport,US,41.14,-73.36,39.0,59,1,6.93,clear sky
44,Mul,IN,20.07,79.67,62.38,63,0,3.15,clear sky
45,Akyab,MM,20.15,92.9,66.33,60,0,5.17,clear sky
46,Albany,US,42.6,-73.97,34.0,46,100,11.03,overcast clouds
47,Nador,MA,35.17,-2.93,51.8,57,0,3.36,clear sky
48,Hermanus,ZA,-34.42,19.23,66.0,81,0,4.0,clear sky
49,Chingola,ZM,-12.53,27.88,64.96,98,100,4.14,light rain
50,Dehra Dun,IN,30.32,78.03,48.7,47,0,4.79,clear sky
51,Kemang,ID,-3.35,104.34,73.42,97,100,4.5,heavy intensity rain
52,San Patricio,US,28.02,-97.52,75.99,73,75,25.28,broken clouds
53,Butaritari,KI,3.07,172.79,81.25,78,88,22.03,light rain
54,La Palma,US,33.85,-118.05,64.99,38,1,4.7,clear sky
55,Yerbogachen,RU,61.28,108.01,-21.08,86,93,4.25,overcast clouds
56,Bintulu,MY,3.17,113.03,77.0,94,20,3.36,few clouds
57,Bahia Blanca,AR,-38.72,-62.27,72.55,27,0,22.75,clear sky
58,Souillac,MU,-20.52,57.52,75.2,94,40,14.99,shower rain
59,Arraial Do Cabo,BR,-22.97,-42.03,84.2,62,0,12.75,clear sky
60,Taoudenni,ML,22.68,-3.98,73.67,25,0,3.38,clear sky
61,Tadine,NC,-21.55,167.88,78.66,82,100,20.45,moderate rain
62,Iowa City,US,41.66,-91.53,24.8,73,90,20.8,overcast clouds
63,Hilo,US,19.73,-155.09,72.0,64,1,6.93,clear sky
64,Baglung,NP,28.27,83.59,48.87,43,0,5.59,clear sky
65,Saldanha,ZA,-33.01,17.94,68.0,64,0,11.41,clear sky
66,Sitka,US,57.05,-135.33,39.2,93,90,4.36,mist
67,Torbay,CA,47.67,-52.73,32.0,63,90,24.16,overcast clouds
68,Aginskoye,RU,51.1,114.53,-7.31,85,0,13.2,clear sky
69,Thap Than,TH,15.46,99.89,77.0,47,99,8.79,overcast clouds
70,Bredasdorp,ZA,-34.53,20.04,68.0,64,0,18.34,clear sky
71,Kruisfontein,ZA,-34.0,24.73,68.0,79,0,1.01,clear sky
72,Airai,TL,-8.93,125.41,61.99,100,100,0.45,overcast clouds
73,Marsa Matruh,EG,31.35,27.25,62.11,68,11,6.6,few clouds
74,Tuatapere,NZ,-46.13,167.68,55.99,89,100,1.01,overcast clouds
75,Thompson,CA,55.74,-97.86,5.0,84,90,2.24,light snow
76,Ribeira Grande,PT,38.52,-28.7,60.8,72,40,18.34,scattered clouds
77,Dikson,RU,73.51,80.55,-20.85,84,16,7.18,few clouds
78,Zhigansk,RU,66.77,123.37,-7.28,88,77,23.98,broken clouds
79,Itarema,BR,-2.92,-39.92,84.9,64,57,18.23,broken clouds
80,Castro,BR,-24.79,-50.01,77.31,74,11,6.96,few clouds
81,Gidole,ET,5.65,37.37,62.02,82,78,3.4,broken clouds
82,Sarany,RU,58.5,58.88,-5.89,92,100,2.55,light snow
83,Barrow,US,71.29,-156.79,-9.4,69,1,14.99,haze
84,Igarka,RU,67.47,86.58,-14.91,76,5,6.26,clear sky
85,Qasigiannguit,GL,68.82,-51.19,28.4,58,40,10.29,scattered clouds
86,Gizo,SB,-8.1,156.84,83.07,73,100,10.87,light rain
87,Alice Springs,AU,-23.7,133.88,66.2,52,0,3.36,clear sky
88,Tura,IN,25.52,90.22,58.08,61,0,4.07,clear sky
89,Teknaf,BD,20.86,92.31,64.15,67,81,7.25,broken clouds
90,Hobart,AU,-42.88,147.33,55.0,87,90,10.29,overcast clouds
91,Karratha,AU,-20.74,116.85,85.96,70,0,7.99,clear sky
92,Upernavik,GL,72.79,-56.15,22.93,86,100,11.25,overcast clouds
93,Bethel,US,41.37,-73.41,37.0,43,1,12.75,clear sky
94,Asyut,EG,27.18,31.18,57.25,43,0,8.1,clear sky
95,Datong,CN,40.09,113.29,1.94,72,0,4.83,clear sky
96,Suicheng,CN,33.9,117.93,12.72,85,0,6.71,clear sky
97,Mehamn,NO,71.04,27.85,28.4,63,0,3.36,clear sky
98,Tasiilaq,GL,65.61,-37.64,14.0,72,20,2.24,few clouds
99,Kudahuvadhoo,MV,2.67,72.89,82.72,73,39,5.28,scattered clouds
100,Inhambane,MZ,-23.86,35.38,81.55,85,100,8.88,overcast clouds
101,Saryg-Sep,RU,51.5,95.6,-20.52,81,100,1.16,overcast clouds
102,Riyadh,SA,24.69,46.72,55.4,71,0,2.24,clear sky
103,Nalut,LY,30.33,10.85,54.09,37,0,8.61,clear sky
104,Geraldton,AU,-28.77,114.6,68.0,82,75,5.82,haze
105,Esso,RU,55.93,158.7,7.95,88,85,1.16,overcast clouds
106,Tabory,RU,58.52,64.55,-21.86,87,0,3.31,clear sky
107,Santo Tomas,PH,14.11,121.14,80.6,74,75,8.05,light rain
108,Pevek,RU,69.7,170.31,-7.76,91,100,11.9,light snow
109,Buin,CL,-33.73,-70.75,90.0,25,0,6.93,clear sky
110,Clyde River,CA,70.47,-68.59,-11.2,83,75,6.51,broken clouds
111,Saskylakh,RU,71.92,114.08,-24.88,84,38,7.7,scattered clouds
112,Mar Del Plata,AR,-38.0,-57.56,73.4,43,40,18.34,scattered clouds
113,Diffa,NE,13.32,12.61,74.59,19,0,7.11,clear sky
114,Krasnoslobodsk,RU,48.71,44.57,23.0,92,90,11.18,fog
115,Constitucion,CL,-35.33,-72.42,69.28,35,0,21.65,clear sky
116,Faanui,PF,-16.48,-151.75,81.27,77,99,18.1,overcast clouds
117,Wad Rawah,SD,15.16,33.14,75.83,26,0,10.2,clear sky
118,Bambous Virieux,MU,-20.34,57.76,78.01,94,40,14.99,shower rain
119,Talnakh,RU,69.49,88.4,-9.4,52,0,4.47,smoke
120,Sayyan,YE,15.17,44.32,48.76,55,0,3.89,clear sky
121,Prince Rupert,CA,54.32,-130.32,41.0,93,90,7.14,moderate rain
122,Ushuaia,AR,-54.8,-68.3,51.8,50,75,3.36,broken clouds
123,Tabursuq,TN,36.46,9.25,50.0,61,40,5.82,scattered clouds
124,Yerofey Pavlovich,RU,53.97,121.97,-19.75,82,1,3.49,clear sky
125,Zapadnaya Dvina,RU,56.26,32.07,34.16,93,100,9.22,overcast clouds
126,Hami,CN,42.8,93.45,13.78,69,0,2.75,clear sky
127,Qaanaaq,GL,77.48,-69.36,7.03,73,49,11.18,scattered clouds
128,Petauke,ZM,-14.24,31.33,69.6,82,100,3.13,overcast clouds
129,Porto Novo,BJ,6.5,2.6,84.2,79,100,9.17,haze
130,Fiditi,NG,7.71,3.92,84.02,30,9,2.15,clear sky
131,Atuona,PF,-9.8,-139.03,78.58,75,1,21.03,clear sky
132,Grindavik,IS,63.84,-22.43,28.4,92,0,5.82,clear sky
133,Lorica,CO,9.24,-75.81,84.2,70,75,4.7,broken clouds
134,Yellowknife,CA,62.46,-114.35,-4.0,76,90,2.21,light snow
135,Chum Phae,TH,16.54,102.1,61.86,70,1,4.0,clear sky
136,Vila Do Maio,CV,15.13,-23.22,77.0,69,40,21.92,scattered clouds
137,Port Elizabeth,ZA,-33.92,25.57,68.0,77,0,3.36,clear sky
138,Nahrin,AF,36.06,69.13,29.91,69,0,3.49,clear sky
139,Kahului,US,20.89,-156.47,73.4,64,20,11.41,few clouds
140,Catuday,PH,16.29,119.81,78.28,79,85,11.86,overcast clouds
141,Babra,IN,21.85,71.3,57.4,37,0,12.64,clear sky
142,Lebu,CL,-37.62,-73.65,59.67,61,0,20.49,clear sky
143,Leningradskiy,RU,69.38,178.42,-5.64,90,97,4.25,overcast clouds
144,Ilulissat,GL,69.22,-51.1,28.4,58,40,10.29,scattered clouds
145,Georgetown,MY,5.41,100.34,77.0,94,20,2.24,few clouds
146,Zhuanghe,CN,39.7,122.99,10.18,73,0,8.21,clear sky
147,Kavieng,PG,-2.57,150.8,82.11,73,100,4.54,moderate rain
148,Kieta,PG,-6.22,155.63,80.08,77,100,1.19,light rain
149,La Ronge,CA,55.1,-105.28,-0.4,84,100,3.87,overcast clouds
150,Eureka,US,40.8,-124.16,52.0,81,90,5.82,overcast clouds
151,Harper,LR,4.38,-7.72,80.28,81,51,7.92,light rain
152,Dhidhdhoo,MV,6.88,73.1,82.38,74,98,8.77,overcast clouds
153,Ayagoz,KZ,47.97,80.44,4.87,94,97,11.97,overcast clouds
154,Longyearbyen,SJ,78.22,15.64,28.4,92,75,2.24,broken clouds
155,Santa Fe,AR,-31.63,-60.7,81.05,25,100,17.2,overcast clouds
156,Codrington,AU,-38.27,141.97,53.85,88,0,11.25,clear sky
157,Prieska,ZA,-29.66,22.75,83.44,15,49,4.03,scattered clouds
158,Udachnyy,RU,66.42,112.4,-5.8,83,75,6.71,broken clouds
159,Vagur,FO,61.47,-6.81,40.64,88,100,27.16,light rain
160,Inta,RU,66.03,60.17,-23.98,81,0,5.59,clear sky
161,Zambezi,ZM,-13.54,23.1,67.93,93,100,4.45,light rain
162,Krasnoselkup,RU,65.7,82.47,-11.97,85,91,9.93,overcast clouds
163,Ostrovnoy,RU,68.05,39.51,14.67,94,90,14.25,overcast clouds
164,Arnedo,ES,42.22,-2.1,44.6,70,90,11.41,overcast clouds
165,Severo-Kurilsk,RU,50.68,156.12,21.83,86,29,4.61,scattered clouds
166,Kokopo,PG,-4.35,152.26,76.62,82,100,3.67,overcast clouds
167,Tiksi,RU,71.69,128.87,-9.53,90,99,6.31,overcast clouds
168,Wajima,JP,37.4,136.9,30.43,96,100,25.7,light snow
169,Meulaboh,ID,4.14,96.13,76.33,90,100,5.48,overcast clouds
170,Hyeres,FR,43.12,6.12,46.4,49,0,14.99,clear sky
171,Woodstock,CA,43.13,-80.75,39.0,93,100,10.29,light rain
172,Saint-Augustin,CA,51.23,-58.65,17.62,88,93,18.97,overcast clouds
173,Tuktoyaktuk,CA,69.45,-133.04,-20.2,75,90,8.05,shower rain
174,Vallenar,CL,-28.57,-70.76,89.83,24,0,12.91,clear sky
175,Svetlograd,RU,45.34,42.85,26.6,100,20,15.66,few clouds
176,Maragogi,BR,-9.01,-35.22,80.47,74,3,12.8,clear sky
177,Pangnirtung,CA,66.15,-65.71,12.2,61,90,11.41,shower rain
178,Bloomingdale,US,27.89,-82.24,78.01,44,90,11.41,overcast clouds
179,Kaeo,NZ,-35.1,173.78,55.0,90,97,2.19,overcast clouds
180,Cidreira,BR,-30.18,-50.21,82.85,66,24,9.01,few clouds
181,Henties Bay,NA,-22.12,14.28,64.99,85,98,1.01,overcast clouds
182,Bengkulu,ID,-3.8,102.27,75.49,86,100,4.34,moderate rain
183,Vila Franca Do Campo,PT,37.72,-25.43,57.2,82,40,10.29,scattered clouds
184,Charters Towers,AU,-20.1,146.27,71.78,93,100,10.31,light rain
185,Eyrarbakki,IS,63.86,-21.15,23.0,79,0,3.36,clear sky
186,Chuy,UY,-33.7,-53.46,72.72,86,100,11.1,moderate rain
187,Cayenne,GF,4.93,-52.33,82.4,83,75,8.05,moderate rain
188,Jonesboro,US,35.84,-90.7,55.4,93,90,10.29,moderate rain
189,Eydhafushi,MV,5.1,73.07,82.13,78,11,14.23,moderate rain
190,Sitangkai,PH,4.66,119.39,81.52,78,78,7.83,broken clouds
191,Huarmey,PE,-10.07,-78.15,74.48,70,40,8.84,scattered clouds
192,Vila Velha,BR,-20.33,-40.29,84.2,62,0,20.8,clear sky
193,San Cristobal,VE,7.77,-72.22,80.6,65,40,11.41,shower rain
194,Luderitz,NA,-26.65,15.16,64.4,82,1,25.28,clear sky
195,Porto Walter,BR,-8.27,-72.74,84.02,87,100,2.77,moderate rain
196,Kawalu,ID,-7.38,108.21,71.38,93,100,2.17,moderate rain
197,Rupert,US,42.62,-113.68,21.2,85,90,3.36,overcast clouds
198,Yovon,TJ,38.31,69.04,30.2,80,0,2.24,mist
199,Kaitangata,NZ,-46.28,169.85,60.01,90,94,8.01,overcast clouds
200,Hofn,IS,64.25,-15.21,26.6,58,0,11.41,clear sky
201,Te Anau,NZ,-45.42,167.72,53.64,85,56,1.14,broken clouds
202,Naantali,FI,60.47,22.02,39.2,86,40,11.41,scattered clouds
203,Kormilovka,RU,55.0,74.1,-23.8,67,0,6.71,clear sky
204,Sao Luiz Gonzaga,BR,-28.41,-54.96,92.71,39,17,9.64,light rain
205,Xichang,CN,27.9,102.26,36.07,78,100,3.2,overcast clouds
206,Benguela,AO,-12.58,13.41,77.16,78,100,5.5,overcast clouds
207,Rio Grande,BR,-32.03,-52.1,93.2,52,40,11.41,scattered clouds
208,Fairbanks,US,64.84,-147.72,12.0,76,75,3.36,broken clouds
209,Chokurdakh,RU,70.63,147.92,-22.59,88,100,5.08,overcast clouds
210,Ilhabela,BR,-23.78,-45.36,81.63,69,0,8.32,clear sky
211,Lasa,IT,46.62,10.7,32.0,67,75,4.7,broken clouds
212,Yar-Sale,RU,66.83,70.83,-15.83,89,91,4.94,overcast clouds
213,Dawlatabad,AF,36.41,64.91,24.24,88,0,0.45,clear sky
214,Yei,SS,4.09,30.68,80.11,38,81,0.83,broken clouds
215,Talcahuano,CL,-36.72,-73.12,69.8,43,0,17.22,clear sky
216,Marrakesh,MA,31.63,-8.01,57.2,54,20,3.36,few clouds
217,Rabat,MA,33.99,-6.84,51.8,66,0,5.82,clear sky
218,Lompoc,US,34.64,-120.46,59.0,70,1,3.36,clear sky
219,California City,US,35.13,-117.99,48.99,31,1,3.36,clear sky
220,Petrolina De Goias,BR,-16.09,-49.34,89.6,42,75,3.36,light rain
221,Bondoukou,CI,8.03,-2.8,81.72,20,9,2.26,clear sky
222,Salinopolis,BR,-0.61,-47.36,84.31,66,84,10.74,broken clouds
223,Gazanjyk,TM,39.24,55.52,30.58,94,0,11.74,clear sky
224,Kavaratti,IN,10.57,72.64,82.04,74,0,6.24,clear sky
225,Mahur,IN,25.17,93.12,52.11,82,0,1.19,clear sky
226,Pacific Grove,US,36.62,-121.92,53.01,61,1,3.36,clear sky
227,Belyy Yar,RU,53.6,91.39,-5.8,76,100,1.25,smoke
228,Casablanca,MA,33.59,-7.62,55.4,62,0,13.87,clear sky
229,Kysyl-Syr,RU,63.9,122.76,-10.68,88,100,8.55,overcast clouds
230,Aklavik,CA,68.22,-135.01,-16.6,75,75,3.36,broken clouds
231,Okahandja,NA,-21.98,16.92,66.0,86,100,1.99,heavy intensity rain
232,Belen,TR,36.49,36.22,42.8,81,0,5.82,clear sky
233,Saint George,US,37.1,-113.58,42.01,34,1,4.7,clear sky
234,Kenai,US,60.55,-151.26,28.0,92,1,3.36,clear sky
235,Acari,PE,-15.43,-74.62,81.7,49,13,12.08,few clouds
236,Cape Town,ZA,-33.93,18.42,70.0,56,0,11.41,clear sky
237,Serenje,ZM,-13.23,30.24,65.84,91,100,2.75,moderate rain
238,Andra,RU,62.51,65.89,-21.19,86,90,4.47,overcast clouds
239,Sistranda,NO,63.73,8.83,35.6,74,0,11.41,clear sky
240,Narsaq,GL,60.92,-46.05,24.8,58,90,3.36,overcast clouds
241,Shenjiamen,CN,29.96,122.3,28.87,92,0,29.06,clear sky
242,Husavik,IS,66.04,-17.34,17.6,85,75,4.7,broken clouds
243,Boende,CD,-0.22,20.87,75.0,91,100,1.1,light rain
244,Namibe,AO,-15.2,12.15,71.13,75,82,7.4,broken clouds
245,Dingle,PH,11.0,122.67,76.91,88,100,7.56,light rain
246,Nikolskoye,RU,59.7,30.79,35.6,91,90,11.18,overcast clouds
247,Lodja,CD,-3.48,23.43,71.56,93,100,1.34,overcast clouds
248,Lolodorf,CM,3.23,10.73,72.63,94,11,3.51,few clouds
249,Kautokeino,NO,69.01,23.04,19.36,96,100,4.88,overcast clouds
250,Totness,SR,5.88,-56.32,82.27,74,56,8.59,broken clouds
251,Inuvik,CA,68.35,-133.72,-14.8,75,64,1.12,broken clouds
252,Bushehr,IR,28.97,50.84,62.6,63,0,6.93,clear sky
253,Damietta,EG,31.42,31.81,62.73,71,0,8.34,clear sky
254,Ossora,RU,59.24,163.07,8.76,93,100,18.12,light snow
255,Madimba,TZ,-10.4,40.33,80.6,83,75,11.41,broken clouds
256,Chulman,RU,56.85,124.91,-22.13,83,100,13.76,light snow
257,Ancud,CL,-41.87,-73.82,63.0,58,75,10.29,broken clouds
