City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cidreira,-30.18,-50.21,69.04,78,100,11.56,BR,2020-12-15 04:13:11
1,Xuddur,4.12,43.89,68.67,72,0,16.62,SO,2020-12-15 04:13:03
2,Hermanus,-34.42,19.23,61.0,90,5,7.34,ZA,2020-12-15 04:12:57
3,Mataura,-46.19,168.86,64.0,71,0,15.99,NZ,2020-12-15 04:13:07
4,Geraldton,-28.77,114.6,84.2,28,0,19.46,AU,2020-12-15 04:12:57
5,Chuy,-33.7,-53.46,62.89,64,0,12.53,UY,2020-12-15 04:13:33
6,Saint-Philippe,-21.36,55.77,80.6,78,20,3.36,RE,2020-12-15 04:13:27
7,Punta Arenas,-53.15,-70.92,42.8,75,95,26.4,CL,2020-12-15 04:12:59
8,Rikitea,-23.12,-134.97,76.95,73,74,7.11,PF,2020-12-15 04:12:58
9,Saint-Francois,46.42,3.91,53.6,71,0,8.05,FR,2020-12-15 04:20:09
10,Busselton,-33.65,115.33,71.01,36,0,1.99,AU,2020-12-15 04:08:18
11,Zaysan,47.47,84.87,2.28,86,0,1.92,KZ,2020-12-15 04:20:10
12,Buin,-33.73,-70.75,69.01,42,31,6.93,CL,2020-12-15 04:15:30
13,Dalby,-27.18,151.27,82.4,54,75,14.99,AU,2020-12-15 04:09:34
14,Elat,29.56,34.95,60.8,67,40,2.86,IL,2020-12-15 04:20:10
15,Albany,42.6,-73.97,33.01,69,31,1.99,US,2020-12-15 04:12:57
16,San Matias,-16.37,-58.4,72.57,93,90,4.21,BO,2020-12-15 04:13:38
17,Zonguldak,41.25,31.83,49.24,90,100,2.28,TR,2020-12-15 04:20:10
18,Atuona,-9.8,-139.03,78.89,78,10,17.16,PF,2020-12-15 04:13:02
19,Port-Gentil,-0.72,8.78,79.12,83,29,9.95,GA,2020-12-15 04:13:42
20,Vao,-22.67,167.48,76.87,80,17,23.51,NC,2020-12-15 04:13:37
21,Norman Wells,65.28,-126.83,-40.0,65,40,2.24,CA,2020-12-15 04:12:56
22,Sao Geraldo Do Araguaia,-6.4,-48.55,73.85,85,79,2.19,BR,2020-12-15 04:20:11
23,Lorengau,-2.02,147.27,84.31,73,95,6.06,PG,2020-12-15 04:13:08
24,Ushuaia,-54.8,-68.3,35.6,93,75,20.8,AR,2020-12-15 04:12:59
25,Broome,42.25,-75.83,30.0,63,75,18.34,US,2020-12-15 04:13:26
26,Nemuro,43.32,145.57,28.4,36,40,17.22,JP,2020-12-15 04:17:50
27,Clyde River,70.47,-68.59,6.8,92,90,16.11,CA,2020-12-15 04:13:06
28,Ribeira Grande,38.52,-28.7,63.0,79,100,33.49,PT,2020-12-15 04:13:10
29,Vaini,-21.2,-175.2,80.6,83,75,18.34,TO,2020-12-15 04:12:56
30,Severo-Kurilsk,50.68,156.12,28.72,93,92,12.82,RU,2020-12-15 04:13:19
31,Coquimbo,-29.95,-71.34,55.4,93,0,0.36,CL,2020-12-15 04:14:04
32,Touros,-5.2,-35.46,77.0,88,40,5.82,BR,2020-12-15 04:20:12
33,Kuah,6.33,99.84,89.6,66,20,8.05,MY,2020-12-15 04:15:27
34,Rio Gallegos,-51.62,-69.22,44.6,64,40,29.97,AR,2020-12-15 04:13:56
35,Kaitangata,-46.28,169.85,62.01,73,1,17.0,NZ,2020-12-15 04:13:14
36,Kavieng,-2.57,150.8,84.74,70,97,2.64,PG,2020-12-15 04:13:54
37,Barrow,71.29,-156.79,-2.2,70,1,27.51,US,2020-12-15 04:13:10
38,Berlevag,70.86,29.09,28.11,95,100,17.78,NO,2020-12-15 04:13:34
39,Saint George,37.1,-113.58,36.0,55,1,13.87,US,2020-12-15 04:13:53
40,Yiyang,28.59,112.33,35.96,78,98,6.85,CN,2020-12-15 04:20:13
41,Secu,44.47,23.3,34.0,90,90,2.24,RO,2020-12-15 04:20:14
42,Noumea,-22.28,166.46,89.6,52,0,18.34,NC,2020-12-15 04:19:35
43,Panzhihua,26.59,101.71,66.76,46,0,0.69,CN,2020-12-15 04:20:14
44,Lebu,-37.62,-73.65,52.07,81,1,15.03,CL,2020-12-15 04:13:23
45,Quatre Cocos,-20.21,57.76,77.0,94,75,11.41,MU,2020-12-15 04:13:17
46,Puerto Ayora,-0.74,-90.35,72.0,90,42,7.0,EC,2020-12-15 04:13:11
47,Okha,53.57,142.95,16.95,94,100,28.52,RU,2020-12-15 04:15:44
48,Bethel,41.37,-73.41,30.99,92,1,3.36,US,2020-12-15 04:13:32
49,Cape Town,-33.93,18.42,64.0,82,0,14.99,ZA,2020-12-15 04:12:56
50,Oranjestad,12.52,-70.03,80.6,83,40,14.99,AW,2020-12-15 04:13:13
51,Ilulissat,69.22,-51.1,15.8,66,0,9.17,GL,2020-12-15 04:13:17
52,Kropotkin,45.44,40.58,39.24,89,0,10.49,RU,2020-12-15 04:15:42
53,Upernavik,72.79,-56.15,3.54,91,23,14.97,GL,2020-12-15 04:13:24
54,Durres,41.32,19.44,33.8,86,0,3.36,AL,2020-12-15 04:20:15
55,Nipawin,53.37,-104.0,-5.8,83,90,4.7,CA,2020-12-15 04:19:11
56,Bengkulu,-3.8,102.27,82.24,68,100,4.5,ID,2020-12-15 04:13:20
57,Chokurdakh,70.63,147.92,-21.23,88,100,8.28,RU,2020-12-15 04:13:01
58,Saskylakh,71.92,114.08,-31.86,82,89,8.23,RU,2020-12-15 04:13:25
59,Lavrentiya,65.58,-171.0,14.76,95,100,24.09,RU,2020-12-15 04:13:34
60,Mahebourg,-20.41,57.7,77.0,94,75,11.41,MU,2020-12-15 04:13:19
61,Portland,45.52,-122.68,44.01,89,90,1.01,US,2020-12-15 04:20:15
62,Marystown,47.17,-55.15,40.84,96,100,12.73,CA,2020-12-15 04:20:16
63,Beringovskiy,63.05,179.32,17.29,95,100,13.49,RU,2020-12-15 04:13:27
64,Arraial Do Cabo,-22.97,-42.03,73.4,89,40,12.75,BR,2020-12-15 04:13:23
65,Latung,5.5,120.88,83.03,74,94,5.64,PH,2020-12-15 04:20:16
66,Yellowknife,62.46,-114.35,-24.0,73,20,6.93,CA,2020-12-15 04:13:10
67,Hilo,19.73,-155.09,78.8,65,1,4.7,US,2020-12-15 04:11:26
68,Grajau,-5.82,-46.14,73.26,90,71,2.17,BR,2020-12-15 04:20:16
69,Gat,31.61,34.76,57.0,40,0,3.0,IL,2020-12-15 04:13:39
70,Nikolskoye,59.7,30.79,28.99,92,90,2.24,RU,2020-12-15 04:13:33
71,Morondava,-20.28,44.28,81.01,72,19,4.27,MG,2020-12-15 04:15:47
72,Port Elizabeth,-33.92,25.57,64.4,93,20,8.05,ZA,2020-12-15 04:10:06
73,Ternate,0.8,127.4,83.37,74,92,11.79,ID,2020-12-15 04:13:33
74,Stepnogorsk,52.35,71.89,4.55,93,78,10.11,KZ,2020-12-15 04:20:17
75,Kodiak,57.79,-152.41,32.0,79,90,5.82,US,2020-12-15 04:13:33
76,Souillac,-20.52,57.52,77.0,94,75,11.41,MU,2020-12-15 04:13:08
77,Tiznit,29.58,-9.5,56.03,87,100,0.34,MA,2020-12-15 04:13:30
78,Bandar-E Lengeh,26.56,54.88,60.8,59,0,6.93,IR,2020-12-15 04:20:18
79,Babu,24.42,111.52,41.0,74,100,6.06,CN,2020-12-15 04:20:18
80,Zhigansk,66.77,123.37,-32.19,82,100,16.26,RU,2020-12-15 04:13:38
81,Altagracia De Orituco,9.86,-66.38,71.24,91,26,4.09,VE,2020-12-15 04:20:18
82,Hamilton,39.18,-84.53,28.99,74,1,3.89,US,2020-12-15 04:20:06
83,Novopokrovka,49.84,36.55,30.2,92,90,4.47,UA,2020-12-15 04:20:18
84,Bluff,-46.6,168.33,64.0,71,0,15.99,NZ,2020-12-15 04:12:56
85,Faya,18.39,42.45,46.4,81,0,4.7,SA,2020-12-15 04:13:37
86,Zaranj,30.97,61.88,23.0,53,0,4.7,AF,2020-12-15 04:20:19
87,Jiuquan,39.74,98.52,19.0,88,90,3.33,CN,2020-12-15 04:13:41
88,Bredasdorp,-34.53,20.04,59.0,93,29,4.7,ZA,2020-12-15 04:13:01
89,Thompson,55.74,-97.86,-25.6,82,5,3.36,CA,2020-12-15 04:13:01
90,Kapaa,22.08,-159.32,78.8,78,40,6.93,US,2020-12-15 04:13:08
91,Qianan,44.99,124.06,1.94,77,0,6.78,CN,2020-12-15 04:20:19
92,Mandalgovi,45.76,106.27,2.46,83,0,8.88,MN,2020-12-15 04:20:19
93,Dunmore East,52.15,-6.99,46.0,86,60,4.0,IE,2020-12-15 04:20:20
94,Sitka,57.05,-135.33,42.8,70,90,12.75,US,2020-12-15 04:13:01
95,Norheimsund,60.37,6.15,46.99,93,75,18.34,NO,2020-12-15 04:18:49
96,New Norfolk,-42.78,147.06,77.0,77,40,24.16,AU,2020-12-15 04:13:01
97,Jamestown,42.1,-79.24,28.99,68,90,16.11,US,2020-12-15 04:12:56
98,Bua Yai,15.59,102.43,82.99,98,24,13.71,TH,2020-12-15 04:20:21
99,West Wendover,40.74,-114.07,26.6,73,20,4.7,US,2020-12-15 04:20:21
100,Besancon,47.25,6.02,48.0,74,100,7.0,FR,2020-12-15 04:20:21
101,Alofi,-19.06,-169.92,77.0,88,90,10.29,NU,2020-12-15 04:15:48
102,Shimoda,34.67,138.95,51.8,51,20,17.22,JP,2020-12-15 04:18:01
103,Ambon,-3.7,128.18,89.6,62,40,8.05,ID,2020-12-15 04:11:13
104,Talnakh,69.49,88.4,-36.4,65,0,2.24,RU,2020-12-15 04:13:59
105,Aklavik,68.22,-135.01,-18.4,75,48,2.24,CA,2020-12-15 04:13:34
106,Sembakung,3.82,117.25,85.33,73,95,2.55,ID,2020-12-15 04:20:21
107,Asfi,32.3,-9.24,61.7,84,96,3.96,MA,2020-12-15 04:20:22
108,Mehamn,71.04,27.85,27.63,95,100,12.55,NO,2020-12-15 04:13:07
109,Qasigiannguit,68.82,-51.19,15.8,66,4,9.17,GL,2020-12-15 04:13:14
110,Esperance,-33.87,121.9,68.0,45,75,14.99,AU,2020-12-15 04:12:59
111,Palmer,42.16,-72.33,35.6,69,40,11.41,US,2020-12-15 04:20:22
112,Ban Nahin,18.24,104.21,88.0,49,1,4.29,LA,2020-12-15 04:20:22
113,Tomatlan,19.93,-105.25,66.52,93,0,1.39,MX,2020-12-15 04:20:22
114,Praia,14.92,-23.51,71.6,73,20,10.29,CV,2020-12-15 04:20:23
115,Gualaquiza,-3.4,-78.55,61.32,89,96,1.54,EC,2020-12-15 04:20:23
116,Katsuura,35.13,140.3,52.0,48,20,5.82,JP,2020-12-15 04:13:17
117,Hervey Bay,-25.3,152.85,84.99,66,75,14.99,AU,2020-12-15 04:19:47
118,Roura,4.73,-52.33,75.2,100,0,2.04,GF,2020-12-15 04:20:23
119,Airai,-8.93,125.41,67.75,100,100,1.68,TL,2020-12-15 04:13:39
120,Vostochnyy,55.82,37.87,23.0,92,90,6.71,RU,2020-12-15 04:20:23
121,Skegness,53.14,0.34,45.0,100,0,9.17,GB,2020-12-15 04:15:39
122,San Ramon,37.78,-121.98,48.2,76,1,5.82,US,2020-12-15 04:20:24
123,Kieta,-6.22,155.63,84.85,73,93,6.17,PG,2020-12-15 04:13:01
124,Komsomolskiy,40.43,71.72,30.2,86,75,1.95,UZ,2020-12-15 04:20:24
125,Nakamura,32.98,132.93,43.0,60,18,12.33,JP,2020-12-15 04:20:24
126,Qaqortoq,60.72,-46.03,39.2,35,100,16.11,GL,2020-12-15 04:13:31
127,Port Alfred,-33.59,26.89,66.0,94,99,1.99,ZA,2020-12-15 04:13:17
128,Provideniya,64.38,-173.3,17.6,72,90,20.13,RU,2020-12-15 04:13:31
129,Cherskiy,68.75,161.3,-19.21,88,98,5.41,RU,2020-12-15 04:14:05
130,Aykhal,66.0,111.5,-22.0,67,75,4.47,RU,2020-12-15 04:20:25
131,Hithadhoo,-0.6,73.08,81.34,74,20,11.36,MV,2020-12-15 04:13:09
132,Khatanga,71.97,102.5,-24.32,87,96,2.53,RU,2020-12-15 04:12:56
133,Codrington,-38.27,141.97,66.7,71,21,14.97,AU,2020-12-15 04:13:55
134,Pisco,-13.7,-76.22,66.2,88,90,13.87,PE,2020-12-15 04:13:20
135,Tatarsk,55.22,75.98,2.71,94,77,9.26,RU,2020-12-15 04:15:44
136,Bilibino,68.05,166.44,-0.72,87,99,5.73,RU,2020-12-15 04:13:11
137,Christchurch,-43.53,172.63,75.2,36,0,16.11,NZ,2020-12-15 04:09:25
138,Aguimes,27.91,-15.45,64.4,88,40,10.29,ES,2020-12-15 04:13:02
139,Betafo,-19.83,46.85,62.53,71,45,3.8,MG,2020-12-15 04:15:47
140,Businga,3.33,20.88,70.84,82,14,0.45,CD,2020-12-15 04:20:26
141,Sherbakul,54.63,72.4,5.0,77,40,4.47,RU,2020-12-15 04:18:50
142,Mar Del Plata,-38.0,-57.56,60.8,59,40,17.22,AR,2020-12-15 04:12:59
143,Salalah,17.02,54.09,71.6,43,0,9.17,OM,2020-12-15 04:12:58
144,Port Lincoln,-34.73,135.87,65.52,70,16,19.66,AU,2020-12-15 04:13:09
145,Butaritari,3.07,172.79,81.75,79,60,14.99,KI,2020-12-15 04:12:57
146,Waipawa,-41.41,175.52,69.01,56,0,23.04,NZ,2020-12-15 04:20:27
147,Emba,48.83,58.14,16.18,78,98,3.15,KZ,2020-12-15 04:20:27
148,Ahuimanu,21.44,-157.84,82.4,65,40,6.93,US,2020-12-15 04:13:17
149,Vangaindrano,-23.35,47.6,73.27,85,100,3.06,MG,2020-12-15 04:15:47
150,Moose Factory,51.26,-80.61,-9.4,76,1,16.11,CA,2020-12-15 04:20:27
151,Yankton,42.87,-97.4,17.6,72,1,6.93,US,2020-12-15 04:20:27
152,Yurimaguas,-5.9,-76.08,71.22,90,100,1.68,PE,2020-12-15 04:20:27
153,Marawi,8.0,124.29,82.99,82,24,7.0,PH,2020-12-15 04:13:23
154,Amarante Do Maranhao,-5.57,-46.74,71.08,92,90,2.84,BR,2020-12-15 04:20:28
155,Mae Sai,20.43,99.88,80.01,78,0,3.36,TH,2020-12-15 04:20:28
156,Deputatskiy,69.3,139.9,-31.0,84,88,4.85,RU,2020-12-15 04:13:22
157,Esil,51.96,66.4,4.53,94,98,5.17,KZ,2020-12-15 04:18:53
158,Seoul,37.57,126.98,23.0,29,0,10.29,KR,2020-12-15 04:12:03
159,Puerto Escondido,15.85,-97.07,77.7,75,75,6.69,MX,2020-12-15 04:20:28
160,Hobart,-42.88,147.33,77.0,77,40,24.16,AU,2020-12-15 04:13:05
161,Zhuanghe,39.7,122.99,17.53,71,0,10.33,CN,2020-12-15 04:20:29
162,Roma,43.21,-75.46,32.0,89,90,18.34,US,2020-12-15 04:18:40
163,Olafsvik,64.89,-23.71,38.08,78,100,31.18,IS,2020-12-15 04:13:27
164,Batagay-Alyta,67.8,130.41,-34.26,56,0,1.52,RU,2020-12-15 04:14:02
165,Herat,34.5,62.0,30.43,77,0,0.81,AF,2020-12-15 04:20:29
166,Tezu,27.92,96.17,72.82,34,0,3.09,IN,2020-12-15 04:20:29
167,Am Timan,11.03,20.28,68.34,23,0,4.81,TD,2020-12-15 04:13:55
168,Hasaki,35.73,140.83,54.0,34,20,9.17,JP,2020-12-15 04:09:18
169,Victoria,22.29,114.16,60.01,68,52,7.0,HK,2020-12-15 04:12:13
170,Bronnoysund,65.46,12.2,39.2,64,75,17.22,NO,2020-12-15 04:20:30
171,Tuktoyaktuk,69.45,-133.04,-20.2,75,20,8.05,CA,2020-12-15 04:13:21
172,Mazatlan,23.22,-106.42,69.01,88,20,3.36,MX,2020-12-15 04:19:31
173,Auki,-8.77,160.7,86.09,67,66,8.95,SB,2020-12-15 04:14:05
174,Lincoln,40.8,-96.67,19.4,73,1,5.82,US,2020-12-15 04:19:17
175,Katherine,-14.47,132.27,93.2,49,75,8.05,AU,2020-12-15 04:13:21
176,Tiksi,71.69,128.87,-25.29,82,54,5.46,RU,2020-12-15 04:13:19
177,Polunochnoye,60.87,60.42,12.58,96,100,2.75,RU,2020-12-15 04:20:31
178,Takoradi,4.88,-1.76,77.85,88,29,6.55,GH,2020-12-15 04:20:31
179,Mount Isa,-20.73,139.5,100.4,22,40,9.17,AU,2020-12-15 04:12:23
180,Santiago,-33.46,-70.65,68.0,42,38,6.93,CL,2020-12-15 04:20:32
181,Bela,25.93,81.98,68.22,28,19,5.64,IN,2020-12-15 04:20:32
182,Shenzhen,22.55,114.07,64.0,67,68,1.01,CN,2020-12-15 04:15:39
